Day,Open,High,Low,Close,Adj Close,Volume
354,10909.5659,10931.208,10812.6334,10837.707,10837.707,25110568
355,11036.7896,11107.2808,11031.7244,11094.3571,11094.3571,30051969
356,11065.9497,11104.0028,11045.0396,11089.2615,11089.2615,25493952
357,11168.9513,11174.2273,11030.7039,11049.9055,11049.9055,42703326
358,11036.4337,11085.4699,11016.7303,11068.8977,11068.8977,20167364
359,11070.4662,11109.9249,11006.0392,11047.3956,11047.3956,24088106
360,10860.9435,10892.886,10844.5292,10870.6922,10870.6922,19239324
361,10949.8993,11043.7268,10932.8664,11043.7268,11043.7268,30061034
362,11100.3274,11122.6034,11057.3645,11097.041,11097.041,29260219
363,11164.1061,11263.5342,11160.4309,11248.8485,11248.8485,31857975
364,11252.9832,11296.9545,11251.8842,11281.4223,11281.4223,26132688
365,11258.0856,11270.8837,11197.1227,11234.2496,11234.2496,25613270
366,11306.4085,11314.0538,11270.8215,11286.3966,11286.3966,17637108
367,11293.5268,11315.783,11264.4501,11315.783,11315.783,21103837
368,11224.2272,11227.7818,11138.1155,11156.1334,11156.1334,24402509
369,11171.7915,11217.8991,11125.2747,11154.722,11154.722,24912301
370,11201.3741,11254.7244,11195.5178,11219.0985,11219.0985,29921138
371,11154.6985,11207.8857,11147.1303,11204.5723,11204.5723,22550796
372,11243.1737,11243.1737,11175.72,11225.4497,11225.4497,20164091
373,11234.8248,11240.6065,11167.611,11178.1789,11178.1789,24405268
374,11100.6075,11107.6576,11051.9759,11097.7897,11097.7897,24470243
375,11098.4282,11104.1702,10919.8274,10947.2919,10947.2919,30407555
376,10954.5297,11124.3405,10941.7864,11120.5534,11120.5534,27171522
377,11110.6349,11136.7457,11070.6993,11122.0801,11122.0801,21273593
378,11139.0684,11274.8088,11132.0447,11240.6782,11240.6782,21091273
379,11238.2548,11247.5138,11212.7702,11229.2494,11229.2494,21371481
380,11282.1896,11337.8427,11282.0546,11303.2835,11303.2835,18660158
381,11255.4245,11260.3733,11198.609,11233.6147,11233.6147,22003921
382,11161.645,11174.7527,11105.4683,11156.097,11156.097,20940915
383,11181.2182,11238.543,11172.9872,11195.3948,11195.3948,26023017
384,11079.5166,11111.8026,11053.622,11077.0195,11077.0195,35412279
385,11061.5207,11162.5529,11023.8855,11154.4235,11154.4235,33461217
386,10954.5462,10954.5462,10824.9313,10890.5573,10890.5573,43685241
387,10777.7395,10794.1559,10573.7349,10679.9659,10679.9659,40232725
388,10503.283,10649.168,10392.3052,10637.5309,10637.5309,44696470
